,category,title,cash_price,store,link,created_at
83,monitores,Monitor 19 Samsung LED S33A,94999.0,venex,https://www.venex.com.ar//monitores/monitor-19-samsung-led-s33a.html,2023-08-28 13:20:36
84,monitores,Monitor 24 Noblex  91MK24X7100 FHD 75Hz IPS,98179.0,venex,https://www.venex.com.ar//monitores/monitor-24-noblex-91mk24x7100-fhd-75hz-ips.html,2023-08-28 13:20:36
85,monitores,Monitor 24 Asus VA24EHE-J IPS FHD 75Hz,99990.0,venex,https://www.venex.com.ar//monitores/monitor-24-asus-va24ehe-ips-vga-hdmi-dvi-negro.html,2023-08-28 13:20:36
86,monitores,Monitor 22 Led Samsung T350 FHD IPS 5ms HDMI VGA 75Hz,99999.0,venex,https://www.venex.com.ar//monitores/monitor-22-led-samsung-t350-fhd-ips-5ms-hdmi-vga-75hz.html,2023-08-28 13:20:36
87,monitores,Monitor 22 LED LG 22MP410-B HDMI,100479.0,venex,https://www.venex.com.ar//monitores/monitor-22-led-lg-22mp410-b-hdmi.html,2023-08-28 13:20:36
88,monitores,Monitor 24 Hikivision DS-D5024FN TFT FHD 60Hz,101239.0,venex,https://www.venex.com.ar//monitores/monitor-24-hikivision-ds-d5024fn-tft-fhd-60hz.html,2023-08-28 13:20:36
89,monitores,Monitor 24 LED LG 24MK430H-B Full HD 75Hz,106259.0,venex,https://www.venex.com.ar//monitores/monitor-24-led-lg-24mk400h-b-full-hd-60hz.html,2023-08-28 13:20:36
90,monitores,Monitor 22 Lcd Lg 22BK55WY-B Wide,110449.0,venex,https://www.venex.com.ar//monitores/monitor-22-lcd-lg-22bk55wy-b-wide.html,2023-08-28 13:20:36
91,monitores,Monitor 22 Hikvision FHD 5022 HDMI,113509.0,venex,https://www.venex.com.ar//monitores/monitor-22-hikvision-fhd-5022-hdmi.html,2023-08-28 13:20:36
92,monitores,Monitor 24 LED Samsung T350 FHD IPS 5Ms 75Hz,116999.0,venex,https://www.venex.com.ar//monitores/monitor-24-led-samsung-t350h-fhd-ips-5ms-75hz.html,2023-08-28 13:20:36
93,monitores,"Monitor 22"" LG 22MK600M FHD IPS 75Hz 5Ms",127049.0,venex,https://www.venex.com.ar//monitores/monitor-22-lg-22mk600m-fhd-ips-75hz-5ms.html,2023-08-28 13:20:36
94,monitores,Monitor 27 E-View 271AXA VGA/HDMI FHD 60Hz,134989.0,venex,https://www.venex.com.ar//monitores/monitor-27-e-view-271axa-vga-hdmi-fhd-60hz.html,2023-08-28 13:20:36
95,monitores,Monitor 27 Hikivision DS-D5027FN TFT FHD 60Hz,138059.0,venex,https://www.venex.com.ar//monitores/monitor-27-hikivision-ds-d5027fn-tft-fhd-60hz.html,2023-08-28 13:20:36
96,monitores,Monitor 24 Led LG 24MK600M Hdmi IPS FHD 75Hz,138599.0,venex,https://www.venex.com.ar//monitores/monitor-24-led-lg-24mk600m-hdmi-fhd-75hz.html,2023-08-28 13:20:36
97,monitores,Monitor 27 Philips 272V8LA/5 VA FHD 75Hz,144990.0,venex,https://www.venex.com.ar//monitores/monitor-27-philips-272v8la-5-hdmi-va-fhd-75hz.html,2023-08-28 13:20:36
98,monitores,Monitor 27 Led LG 27MK400H-B HDMI,151869.0,venex,https://www.venex.com.ar//monitores/monitor-27-led-lg-27mk400h-b-hdmi.html,2023-08-28 13:20:36
99,monitores,Monitor 24 Led Samsung Curvo Cf390 Full Hd,157999.0,venex,https://www.venex.com.ar//monitores/monitor-24-led-samsung-curvo-cf390-full-hd.html,2023-08-28 13:20:36
100,monitores,Monitor 24 LED Samsung G50 FHD Curvo 144Hz,158999.0,venex,https://www.venex.com.ar//monitores/monitor-24-led-samsung-g50-fhd-curvo-144hz.html,2023-08-28 13:20:36
101,monitores,Monitor 26 LG LED 26WQ500-B Ultrawide 75Hz,172199.0,venex,https://www.venex.com.ar//monitores/monitor-26-lg-led-26wq500-b-ultrawide-75hz.html,2023-08-28 13:20:36
102,monitores,Monitor 24 Viewsonic VX2416 IPS FHD,179499.0,venex,https://www.venex.com.ar//monitores/monitor-24-viewsonic-vx2416-ips-fhd.html,2023-08-28 13:20:36
103,monitores,Monitor 24 AOC G2490VX 144Hz 1Ms Freesync Negro/Rouge,194990.0,venex,https://www.venex.com.ar//monitores/monitor-24-aoc-g2490vx-144hz-1ms-freesync.html,2023-08-28 13:20:36
104,monitores,Monitor 24 LG 24GN60R-B IPS FHD 144Hz,196349.0,venex,https://www.venex.com.ar//monitores/monitor-24-lg-24gn60r-b-ips-fhd-144hz.html,2023-08-28 13:20:36
105,monitores,Monitor 27 Philips Curvo 27E1SCA/55 FHD 75Hz,196990.0,venex,https://www.venex.com.ar//monitores/monitor-27-philips-curvo-27e1sca-55-full-hd.html,2023-08-28 13:20:36
106,monitores,Monitor 27 Viewsonic VX27 16 IPS FHD 100Hz,207099.0,venex,https://www.venex.com.ar//monitores/monitor-27-viewsonic-vx27-16-ips-fhd-100hz.html,2023-08-28 13:20:36
107,monitores,Monitor 24 Asus VG24VQE FHD VA 165Hz,219990.0,venex,https://www.venex.com.ar//monitores/monitor-24-asus-vg24vqe-fhd-va-165hz.html,2023-08-28 13:20:36
108,monitores,Monitor 32 LED LG 32MN500M-B FHD,220499.0,venex,https://www.venex.com.ar//monitores/monitor-32-led-lg-32mn500m-b-fhd.html,2023-08-28 13:20:36
109,monitores,Monitor 24 Gigabyte G24F 2 IPS FHD 165Hz,220990.0,venex,https://www.venex.com.ar//monitores/monitor-24-gigabyte-g24f-2-ips-fhd-165hz.html,2023-08-28 13:20:36
110,monitores,Monitor 24 Viewsonic XG240R TN FHD 144Hz,223969.0,venex,https://www.venex.com.ar//monitores/monitor-24-viewsonic-xg240r-tn-fhd-144hz.html,2023-08-28 13:20:36
